id_os,tem_linha_preventiva,tem_linha_nao_preventiva,linhas_mao_obra,os_preventiva_mista
101143305,True,False,3,False
101143321,True,True,4,True
101144530,True,True,4,True
101145151,True,True,3,True
101146252,True,True,13,True
101146957,False,True,1,False
101147241,True,True,5,True
101147274,False,True,2,False
101147394,True,True,7,True
101147431,True,True,9,True
101148460,False,True,2,False
101149447,True,True,3,True
101149757,True,True,2,True
101150396,True,True,2,True
101150975,True,True,3,True
101151284,True,True,3,True
101152386,True,True,6,True
101152392,False,True,1,False
101153414,True,True,4,True
101155355,False,True,6,False
101157707,True,True,4,True
101171203,True,True,4,True
101172181,False,True,1,False
101173525,True,True,6,True
101176176,False,True,2,False
101179980,False,True,1,False
101191556,True,True,4,True
101197168,True,True,4,True
101200305,True,True,5,True
101209161,True,True,5,True
101209912,False,True,1,False
101213335,False,True,2,False
101217488,False,True,1,False
101219078,True,True,4,True
101219700,False,True,4,False
101219871,True,True,3,True
101221439,False,True,2,False
101221469,True,True,7,True
101226498,False,True,1,False
101226513,True,True,4,True
101228899,True,True,9,True
101231238,False,True,3,False
101233344,False,True,2,False
101234444,False,True,4,False
101234511,True,True,2,True
101234627,True,True,2,True
101235454,False,True,2,False
101235714,True,True,6,True
101235814,False,True,2,False
101235860,False,True,1,False
101235863,True,True,3,True
101237295,False,True,1,False
101237407,True,True,5,True
101237462,True,True,3,True
101238117,True,True,4,True
101238225,True,True,3,True
101238372,True,True,6,True
101238952,True,True,5,True
101239235,True,True,4,True
101239544,False,True,1,False
101241982,True,True,5,True
101242309,True,True,2,True
101243335,False,True,3,False
101247988,True,False,1,False
101248096,True,True,3,True
101248697,True,True,2,True
101250443,True,True,5,True
101250613,False,True,1,False
101251660,False,True,1,False
101255064,True,True,7,True
101261283,True,True,2,True
101262660,True,True,7,True
101262907,True,True,2,True
101263250,False,True,1,False
101264358,True,False,1,False
101264533,True,True,6,True
101266255,True,True,3,True
101266687,False,True,4,False
101267142,True,False,1,False
101267392,False,True,1,False
101267447,True,True,3,True
101268037,True,True,4,True
101269357,False,True,4,False
101270171,True,True,2,True
101271109,True,True,3,True
101272648,True,True,2,True
101274521,False,True,3,False
101276424,False,True,2,False
101276802,True,False,1,False
101280495,False,True,1,False
101280521,False,True,1,False
101281570,True,True,2,True
101282874,True,True,10,True
101283853,True,True,7,True
101287952,True,True,3,True
101288593,False,True,1,False
101289509,False,True,4,False
101290460,False,True,3,False
101290645,False,True,1,False
101291112,True,True,9,True
101291142,True,True,6,True
101292102,True,True,10,True
101293393,True,True,3,True
101293398,False,True,2,False
101293404,False,True,3,False
101293408,False,True,3,False
101297072,True,True,7,True
101301316,True,True,5,True
101303458,False,True,1,False
101304012,False,True,1,False
101304159,False,True,3,False
101304191,False,True,4,False
101304305,False,True,2,False
101304396,False,True,4,False
101304557,False,True,5,False
101304621,True,True,5,True
101304635,False,True,2,False
101305883,True,True,4,True
101306399,False,True,1,False
101307467,False,True,2,False
101309287,True,True,3,True
101309870,False,True,1,False
101310083,True,True,4,True
101310374,True,True,3,True
101310550,True,True,4,True
101310709,False,True,1,False
101312070,False,True,2,False
101312202,True,False,1,False
101312363,True,True,4,True
101317068,False,True,2,False
101318070,False,True,5,False
101318238,False,True,2,False
101318648,False,True,3,False
101318737,False,True,5,False
101318807,False,True,4,False
101318853,False,True,9,False
101318926,False,True,3,False
101319951,True,True,11,True
101320251,True,True,8,True
101320435,True,True,6,True
101322829,True,False,1,False
101323616,True,True,5,True
101323880,False,True,2,False
101323949,False,True,1,False
101324180,True,True,16,True
101325342,True,False,2,False
101325350,False,True,1,False
101325444,False,True,1,False
101325647,False,True,9,False
101325744,True,True,5,True
101326279,True,True,3,True
101326514,True,True,2,True
101326759,False,True,1,False
101326854,False,True,1,False
101326867,True,True,5,True
101326892,False,True,1,False
101327039,False,True,1,False
101328285,False,True,1,False
101329180,False,True,1,False
101329330,True,True,2,True
101330520,False,True,1,False
101333307,True,True,2,True
101333914,True,True,4,True
101336216,True,True,3,True
101337113,True,True,8,True
101337183,False,True,3,False
101339338,True,True,4,True
101339361,True,True,3,True
101339585,False,True,2,False
101340612,True,True,4,True
101340696,True,True,5,True
101341540,False,True,1,False
101343246,True,True,3,True
101343435,False,True,1,False
101344744,True,True,2,True
101345235,True,True,5,True
101345359,True,True,2,True
101346010,False,True,1,False
101348014,True,True,4,True
101348017,True,False,1,False
101350161,True,True,3,True
101352247,False,True,1,False
101352251,True,True,2,True
101354035,False,True,1,False
101354356,True,True,6,True
101355078,False,True,1,False
101355644,True,True,3,True
101355876,False,True,2,False
101356136,True,True,10,True
101356261,True,True,8,True
101356997,False,True,1,False
101357041,True,True,7,True
101357462,False,True,1,False
101357472,True,True,6,True
101358144,False,True,1,False
101358714,False,True,1,False
101362067,False,True,3,False
101362670,True,True,10,True
101364899,False,True,2,False
101368603,False,True,1,False
101371446,False,True,1,False
101371955,True,True,8,True
101374194,False,True,1,False
101374270,True,True,2,True
101377390,False,True,5,False
101378443,False,True,2,False
101379601,True,False,1,False
101379757,False,True,2,False
101380452,True,True,11,True
101380806,True,True,2,True
101381074,True,True,2,True
101381411,True,True,3,True
101381486,True,True,5,True
101381593,False,True,1,False
101382305,True,True,7,True
101382568,True,True,8,True
101382660,True,True,2,True
101382968,True,True,7,True
101383647,False,True,3,False
101383912,True,False,1,False
101384080,True,True,2,True
101384130,False,True,3,False
101384190,True,True,2,True
101384545,True,True,3,True
101384719,False,True,3,False
101385397,True,True,4,True
101385596,False,True,1,False
101386099,False,True,2,False
101386168,False,True,1,False
101386493,True,True,2,True
101386944,True,True,3,True
101388143,True,False,3,False
101388296,False,True,1,False
101388500,False,True,1,False
101388762,False,True,1,False
101390470,True,True,8,True
101390604,True,True,6,True
101391251,True,True,3,True
101391396,False,True,2,False
101391946,True,False,1,False
101392285,False,True,1,False
101392913,False,True,1,False
101392926,True,True,4,True
101393533,True,True,5,True
101394398,True,True,4,True
101396738,True,True,2,True
101396771,False,True,1,False
101397923,True,True,3,True
101398827,True,True,8,True
101399619,False,True,1,False
101399815,False,True,1,False
101400069,False,True,1,False
101400139,False,True,1,False
101400161,False,True,2,False
101404642,False,True,1,False
101405264,True,True,3,True
101406257,True,True,5,True
101413107,False,True,1,False
101413899,True,True,11,True
101414383,False,True,2,False
101414444,False,True,4,False
101415585,False,True,1,False
101415621,True,True,3,True
101416642,True,True,7,True
101417714,True,True,3,True
101417922,True,True,7,True
101418299,False,True,2,False
101418378,True,True,5,True
101418405,False,True,1,False
101418827,True,True,10,True
101420505,False,True,2,False
101420969,True,True,3,True
101422827,False,True,1,False
101423721,True,True,9,True
101426841,True,True,11,True
101427666,True,True,7,True
101428433,False,True,2,False
101429945,True,True,8,True
101434954,False,True,1,False
101435330,True,True,6,True
101435363,True,False,3,False
101436998,False,True,7,False
101437414,False,True,3,False
101438168,True,True,2,True
101438182,True,True,3,True
101439478,False,True,2,False
101439970,True,True,4,True
101440106,False,True,1,False
101440141,False,True,3,False
101440702,False,True,1,False
101440731,False,True,7,False
101441172,False,True,1,False
101442358,False,True,2,False
101443551,True,True,3,True
101443858,True,False,3,False
101444513,True,True,2,True
101445306,True,True,5,True
101445607,False,True,5,False
101445758,False,True,3,False
101445777,False,True,1,False
101447253,True,True,8,True
101447847,False,True,5,False
101448274,False,True,1,False
101449933,False,True,1,False
101450097,False,True,1,False
101450217,False,True,4,False
101450521,False,True,1,False
101450907,False,True,1,False
101452718,True,True,3,True
101452804,True,True,2,True
101453047,True,True,3,True
101453085,True,True,5,True
101453741,False,True,2,False
101454181,False,True,1,False
101454395,False,True,2,False
101454431,True,True,2,True
101454593,True,False,1,False
101455031,True,True,2,True
101455253,True,True,3,True
101455410,False,True,1,False
101456281,False,True,3,False
101456495,True,True,3,True
101456982,True,False,3,False
101457384,False,True,3,False
101457456,False,True,2,False
101457558,False,True,2,False
101458489,True,True,11,True
101459665,False,True,4,False
101460422,True,True,3,True
101461224,True,True,5,True
101461336,True,True,8,True
101461718,True,True,4,True
101462053,True,True,2,True
101462844,True,True,8,True
101463562,False,True,1,False
101463618,False,True,1,False
101463912,True,True,3,True
101463956,True,True,7,True
101464528,False,True,1,False
101464556,False,True,1,False
101464650,False,True,1,False
101464803,False,True,4,False
101466052,True,True,3,True
101466602,False,True,3,False
101467031,True,True,5,True
101467159,True,True,3,True
101467795,True,True,10,True
101467882,False,True,5,False
101469106,False,True,2,False
101469514,False,True,1,False
101470846,True,True,3,True
101471162,False,True,6,False
101471312,False,True,4,False
101472185,False,True,3,False
101473009,False,True,2,False
101473406,False,True,1,False
101473645,False,True,3,False
101474745,False,True,3,False
101474777,False,True,1,False
101475043,True,True,3,True
101475435,False,True,3,False
101477410,True,True,2,True
101480130,False,True,1,False
101481293,False,True,2,False
101481917,False,True,1,False
101482530,False,True,1,False
101482996,True,True,5,True
101483461,True,True,6,True
101487688,False,True,1,False
101489290,False,True,1,False
101490216,False,True,1,False
101493242,False,True,1,False
101494005,True,True,4,True
101494046,False,True,1,False
101494143,False,True,1,False
101495022,True,True,2,True
101497247,True,True,3,True
101499099,True,True,3,True
101499631,True,True,2,True
101499925,False,True,1,False
101500206,False,True,1,False
101500338,False,True,4,False
101500396,True,True,5,True
101500902,True,True,2,True
101501147,True,True,3,True
101502120,True,True,3,True
101502908,True,True,2,True
101504116,True,True,3,True
101504470,False,True,4,False
101505572,False,True,2,False
101507436,True,True,3,True
101507625,False,True,1,False
101507674,False,True,1,False
101507985,False,True,2,False
101508169,True,True,6,True
101508436,True,True,10,True
101510439,False,True,1,False
101510542,False,True,4,False
101511414,True,False,1,False
101511984,True,True,3,True
101511993,True,False,1,False
101512051,True,True,5,True
101512199,True,True,4,True
101512228,True,True,3,True
101513010,False,True,2,False
101514717,False,True,1,False
101515178,False,True,5,False
101515369,False,True,1,False
101515992,True,True,2,True
101516587,False,True,1,False
101516700,True,True,8,True
101519642,True,True,3,True
101520462,True,True,9,True
101520614,False,True,3,False
101521048,True,False,1,False
101521305,False,True,2,False
101521586,False,True,3,False
101521593,True,True,3,True
101522006,True,True,3,True
101522202,False,True,3,False
101522764,True,True,2,True
101522783,False,True,3,False
101522990,False,True,6,False
101523353,False,True,1,False
101523932,False,True,1,False
101523941,True,True,10,True
101524132,True,False,1,False
101524201,False,True,1,False
101524307,True,True,8,True
101524673,True,True,3,True
101530318,False,True,2,False
101530388,False,True,2,False
101531418,True,True,3,True
101532587,True,True,4,True
101533829,True,True,11,True
101535063,True,True,3,True
101537058,False,True,1,False
101537987,False,True,3,False
101539263,False,True,1,False
101540269,True,True,5,True
101546376,True,False,1,False
101547622,False,True,1,False
101547923,True,False,1,False
101551220,False,True,1,False
101560000,True,True,5,True
101560255,False,True,1,False
101562769,True,True,4,True
101563599,True,True,5,True
101563765,False,True,1,False
101564180,False,True,2,False
101564245,True,True,3,True
101564492,False,True,3,False
101564593,False,True,1,False
101564684,False,True,2,False
101564812,True,True,4,True
101564935,False,True,5,False
101566106,True,True,9,True
101566707,True,False,1,False
101566793,True,True,2,True
101567123,True,True,5,True
101567284,False,True,6,False
101567605,False,True,3,False
101567631,False,True,1,False
101567766,False,True,2,False
101567873,True,True,6,True
101567989,False,True,3,False
101568478,True,True,4,True
101568892,False,True,3,False
101569104,False,True,2,False
101569134,False,True,2,False
101569147,False,True,1,False
101569187,False,True,1,False
101569203,False,True,6,False
101569217,False,True,4,False
101569305,False,True,2,False
101569333,False,True,3,False
101569348,False,True,3,False
101569360,False,True,1,False
101569419,False,True,3,False
101570554,False,True,2,False
101570641,False,True,2,False
101570846,False,True,2,False
101571067,False,True,2,False
101571151,False,True,3,False
101571477,False,True,2,False
101571758,False,True,2,False
101573057,True,True,6,True
101574366,True,True,3,True
101574749,True,False,1,False
101574948,True,True,2,True
101574989,True,True,3,True
101575741,False,True,2,False
101576790,False,True,2,False
101576796,True,True,2,True
101576814,True,True,6,True
101578162,True,True,7,True
101578282,False,True,3,False
101578988,True,True,4,True
101579337,False,True,1,False
101579842,True,True,3,True
101580217,True,True,4,True
101580409,False,True,2,False
101580732,True,True,4,True
101580751,True,True,7,True
101581131,True,True,2,True
101581260,True,True,4,True
101581366,False,True,1,False
101583013,False,True,1,False
101583399,True,True,3,True
101583733,True,True,3,True
101583783,False,True,5,False
101584314,True,True,3,True
101584405,True,True,3,True
101586485,False,True,2,False
101587125,False,True,3,False
101587409,False,True,1,False
101588429,True,True,7,True
101591043,False,True,3,False
101591365,True,True,6,True
