"ID_CARRETA","DESCRICAO_CARRETA","CHASSI_VIN","PLACA","COD_MONTADORA","COD_MODELO","ANO_MODELO","DATA_ENTRADA_SERVICO","EIXOS","COMPRIMENTO","FLAG_REFRIGERADO","COD_CLASSE","CLASSE","IDADE_CLASSE_DE","IDADE_CLASSE_ATE","COD_GRUPO_MANUTENCAO","GRUPO_MANUTENCAO","STATUS_EQUIPAMENTO"
116578835,"53' T/A PLATE VAN","1DW1A532XNSA60145","Z8833N","STGHTN","",2022,2021-01-21T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Net Lease"
116578837,"53' T/A PLATE VAN","1DW1A5321NSA60146","Z8882N","STGHTN","",2022,2021-01-23T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Net Lease"
116578839,"53' T/A PLATE VAN","1DW1A5323NSA60147","Z4774R","STGHTN","",2022,2021-01-27T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116578915,"36' T/A ST REEFER VAN","1UYVS2366N6501301","V3442L","UTLTY","",2022,2021-03-29T00:00:00,2,"36","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116578917,"36' T/A ST REEFER VAN","1UYVS2368N6501302","V3547L","UTLTY","",2022,2021-04-07T00:00:00,2,"36","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116578919,"36' T/A ST REEFER VAN","1UYVS236XN6501303","V3588L","UTLTY","",2022,2021-04-05T00:00:00,2,"36","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116578921,"36' T/A ST REEFER VAN","1UYVS2361N6501304","V3473L","UTLTY","",2022,2021-04-05T00:00:00,2,"36","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116578923,"36' T/A ST REEFER VAN","1UYVS2363N6501305","V3533L","UTLTY","",2022,2021-03-29T00:00:00,2,"36","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116578925,"36' T/A ST REEFER VAN","1UYVS2365N6501306","V3628L","UTLTY","",2022,2021-04-07T00:00:00,2,"36","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116881651,"53' T/A MT REEFER VAN","1UYVS2539N6501201","V3472L","UTLTY","",2022,2021-04-15T00:00:00,2,"36","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116890788,"53' T/A MT REEFER VAN","1UYVS2530N6501202","V3581J","UTLTY","",2022,2021-03-25T00:00:00,2,"36","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116890793,"53' T/A MT REEFER VAN","1UYVS2532N6501203","V3455L","UTLTY","",2022,2021-04-07T00:00:00,2,"36","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116890795,"53' T/A MT REEFER VAN","1UYVS2534N6501204","V3568L","UTLTY","",2022,2021-04-22T00:00:00,2,"36","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116890797,"53' T/A MT REEFER VAN","1UYVS2536N6501205","V3443L","UTLTY","",2022,2021-04-06T00:00:00,2,"36","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116890799,"53' T/A MT REEFER VAN","1UYVS2538N6501206","V3484J","UTLTY","",2022,2021-03-29T00:00:00,2,"36","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116890801,"53' T/A MT REEFER VAN","1UYVS253XN6501207","V3642J","UTLTY","",2022,2021-04-13T00:00:00,2,"36","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116890804,"53' T/A MT REEFER VAN","1UYVS2531N6501208","V3643J","UTLTY","",2022,2021-03-30T00:00:00,2,"36","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
