ID_CARRETA,ano,y_custo_anual,custo_nominal,n_os_ano,n_os_preventivas_ano,custo_preventivo_ano,n_sistemas_vmrs,km_rodado_ano,delta_km_medio_os,km_acumulado_fim_ano,provincia_operacao,ano_modelo,ano_entrada,eixos,comprimento,flag_refrigerado,tailgate_flag,unit_subtype,tire_size,suspension_type,new_used_indicator,cod_montadora,vmrs_predominante,idade_carreta,share_prev,custo_medio_os,custo_acum,n_os_acum,custo_ano_anterior,n_os_ano_anterior,intervalo_medio_os_hist,anos_desde_ultima_os,km_acumulado_defasado
72809,2024,1660.1242144518353,1618.28,5,1,219.60525408934447,5,9703.0,1940.6,278319.0,Ontario,2011.0,2010.0,2.0,48.0,N,N,DS,11R22.5,HENDRICKSON,NEW,UTLTY,02,14.0,0.13228242331364165,332.02484289036704,4729.207377222243,10,2091.810305565729,1.0,122.62370627572017,0.34223134839151265,268616.0
72809,2025,1158.3093112682652,1152.52,1,1,1158.3093112682652,1,3469.0,3469.0,281788.0,Ontario,2011.0,2010.0,2.0,48.0,N,N,DS,11R22.5,HENDRICKSON,NEW,UTLTY,PM,15.0,1.0,1158.3093112682652,6389.3315916740785,15,1660.1242144518353,5.0,103.61523974867725,0.3942505133470226,278319.0
83008,2020,45.64860417141199,37.89,1,1,45.64860417141199,1,0.0,,163185.0,,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,PM,10.0,1.0,45.64860417141199,0.0,0,,,,,
83008,2021,173.447812353896,148.83,2,1,153.37947042865184,2,12945.0,6472.5,176130.0,,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,PM,11.0,0.884297520661157,86.723906176948,45.64860417141199,1,45.64860417141199,1.0,,0.5639972621492129,163185.0
83008,2022,3546.1579619462836,3249.37,3,0,0.0,2,20799.0,6933.0,196929.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,09,12.0,0.0,1182.0526539820946,219.096416525308,3,173.447812353896,2.0,203.5119386574074,0.4490075290896646,176130.0
83008,2023,1434.3238895384438,1365.57,5,0,0.0,3,29106.0,5821.2,226035.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,08,13.0,0.0,286.8647779076888,3765.2543784715917,6,3546.1579619462836,3.0,171.97303703703702,0.2080766598220397,196929.0
83008,2024,498.6794509523578,486.11,4,1,210.2904705739932,2,8245.0,2061.25,234280.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,01,14.0,0.42169467815926437,124.66986273808945,5199.578268010036,11,1434.3238895384438,5.0,122.68603935185186,0.2026009582477755,226035.0
83008,2025,651.5766257257503,648.32,2,2,651.5766257257503,1,6909.0,3454.5,241189.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,PM,15.0,1.0,325.78831286287516,5698.2577189623935,15,498.6794509523578,4.0,114.74597552910052,0.16427104722792607,234280.0
83009,2020,245.31456271794428,203.62,1,0,0.0,1,0.0,,169583.0,,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,01,10.0,0.0,245.31456271794428,0.0,0,,,,,
83009,2021,203.14243211320039,174.31,1,1,203.14243211320039,1,9860.0,9860.0,179443.0,,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,PM,11.0,1.0,203.14243211320039,245.31456271794428,1,245.31456271794428,1.0,,0.8049281314168378,169583.0
83009,2022,191.44235026624148,175.42000000000002,2,0,0.0,1,15992.0,7996.0,195435.0,,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,01,12.0,0.0,95.72117513312074,448.4569948311447,2,203.14243211320039,1.0,365.3889699074074,0.8049281314168378,179443.0
83009,2023,2139.3070477941965,2036.76,10,1,374.07098136325595,4,9944.0,994.4,205379.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,04,13.0,0.17485614407195743,213.93070477941964,639.8993450973862,4,191.44235026624148,2.0,309.77863811728395,0.2600958247775496,195435.0
83009,2024,682.1540139171789,664.96,6,2,140.42959420885862,2,6187.0,1031.1666666666667,211566.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,01,14.0,0.2058620067372474,113.69233565286315,2779.2063928915827,14,2139.3070477941965,10.0,101.2443189102564,0.1998631074606434,205379.0
